lle_ctx_mean,mae_loss,mase_loss,mse_loss,omega_ctx_mean,se_ctx_mean,snr_ctx_proxy,season_ctx_mean,var_ctx,smape,smape_loss,log_path,mtime,tier,rand_init,seed,init_seed,identity,dedup_key
0.03878,0.29931,0.67826,0.33924,-0.84771,0.61165,3.26483,0.54801,1.20245,0.51747,0.51747,../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init11.txt,1755372532.5233178,high,1,1,11,../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init11.txt,"('high', 1, 1, 11, '../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init11.txt')"
0.07309,0.31041,0.73768,0.26938,-0.6196,0.53666,3.67348,0.46994,1.40978,0.41082,0.41082,../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed1_init11.txt,1755372532.7153196,medium,0,1,11,../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed1_init11.txt,"('medium', 0, 1, 11, '../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed1_init11.txt')"
0.07035,0.23392,0.81223,0.34083,-0.3672,0.45244,2.99294,0.57105,0.94851,0.40855,0.40855,../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init11.txt,1755372546.975456,low,1,1,11,../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init11.txt,"('low', 1, 1, 11, '../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init11.txt')"
0.07309,0.32523,0.77251,0.2827,-0.6196,0.53666,3.67348,0.46994,1.40978,0.41811,0.41811,../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed2_init11.txt,1755372588.4398513,medium,0,2,11,../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed2_init11.txt,"('medium', 0, 2, 11, '../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed2_init11.txt')"
0.03878,0.30332,0.68735,0.34184,-0.84771,0.61165,3.26483,0.54801,1.20245,0.5194,0.5194,../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init12.txt,1755372599.2839541,high,1,1,12,../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init12.txt,"('high', 1, 1, 12, '../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init12.txt')"
0.07035,0.23576,0.81899,0.34273,-0.3672,0.45244,2.99294,0.57105,0.94851,0.4121,0.4121,../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init12.txt,1755372613.6960912,low,1,1,12,../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init12.txt,"('low', 1, 1, 12, '../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init12.txt')"
0.07309,0.32194,0.76501,0.27853,-0.6196,0.53666,3.67348,0.46994,1.40978,0.41996,0.41996,../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed3_init11.txt,1755372640.6203463,medium,0,3,11,../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed3_init11.txt,"('medium', 0, 3, 11, '../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed3_init11.txt')"
0.03878,0.29526,0.66919,0.33721,-0.84771,0.61165,3.26483,0.54801,1.20245,0.51467,0.51467,../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init13.txt,1755372659.2805226,high,1,1,13,../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init13.txt,"('high', 1, 1, 13, '../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init13.txt')"
0.07035,0.23394,0.81256,0.34206,-0.3672,0.45244,2.99294,0.57105,0.94851,0.40757,0.40757,../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init13.txt,1755372672.0006428,low,1,1,13,../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init13.txt,"('low', 1, 1, 13, '../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init13.txt')"
0.03878,0.29828,0.67585,0.34058,-0.84771,0.61165,3.26483,0.54801,1.20245,0.51676,0.51676,../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init11.txt,1755372714.0810394,high,1,2,11,../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init11.txt,"('high', 1, 2, 11, '../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init11.txt')"
