log_path,smape,se
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init11.txt,0.51747,0.61165
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed1_init11.txt,0.41082,0.53666
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init11.txt,0.40855,0.45244
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed2_init11.txt,0.41811,0.53666
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init12.txt,0.5194,0.61165
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init12.txt,0.4121,0.45244
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed3_init11.txt,0.41996,0.53666
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init13.txt,0.51467,0.61165
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init13.txt,0.40757,0.45244
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init11.txt,0.51676,0.61165
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init11.txt,0.42104,0.45244
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init12.txt,0.51706,0.61165
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init12.txt,0.41,0.45244
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init13.txt,0.51875,0.61165
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init13.txt,0.42247,0.45244
