time_step,hr_actual,hr_pred
0,-2.214458703994751,
1,-2.214419364929199,
2,-2.2143800258636475,
3,-2.2143406867980957,
4,-2.214301347732544,
5,-2.214262008666992,
6,-2.2142226696014404,
7,-2.2141835689544678,
8,-2.214144229888916,
9,-2.2141048908233643,
10,-2.2140655517578125,
11,-2.2140262126922607,
12,-2.213986873626709,
13,-2.2139475345611572,
14,-2.2139084339141846,
15,-2.213869094848633,
16,-2.213829755783081,
17,-2.2137904167175293,
18,-2.2137510776519775,
19,-2.213711738586426,
20,-2.213672399520874,
21,-2.2136330604553223,
22,-2.2135939598083496,
23,-2.213554620742798,
24,-2.213515281677246,
25,-2.2134759426116943,
26,-2.2134366035461426,
27,-2.213397264480591,
28,-2.213357925415039,
29,-2.2133185863494873,
30,-2.2132794857025146,
31,-2.213240146636963,
32,-2.213200807571411,
33,-2.2131614685058594,
34,-2.2131221294403076,
35,-2.213082790374756,
36,-2.213043451309204,
37,-2.2130041122436523,
38,-2.2129650115966797,
39,-2.212925672531128,
40,-2.212886333465576,
41,-2.2128469944000244,
42,-2.2128076553344727,
43,-2.212768316268921,
44,-2.212728977203369,
45,-2.2126896381378174,
46,-2.2126505374908447,
47,-2.212611198425293,
48,-2.212571859359741,
49,-2.2125325202941895,
50,-2.2124931812286377,
51,-2.212453842163086,
52,-2.212414503097534,
53,-2.2123751640319824,
54,-2.2123360633850098,
55,-2.212296724319458,
56,-2.2122573852539062,
57,-2.2122180461883545,
58,-2.2121787071228027,
59,-2.212139368057251,
60,-2.212100028991699,
61,-2.2120606899261475,
62,-2.212021589279175,
63,-2.211982250213623,
64,-2.2119429111480713,
65,-2.2119035720825195,
66,-2.2118642330169678,
67,-2.211824893951416,
68,-2.2117855548858643,
69,-2.2117462158203125,
70,-2.21170711517334,
71,-2.211667776107788,
72,-2.2116284370422363,
73,-2.2115890979766846,
74,-2.211549758911133,
75,-2.211510419845581,
76,-2.2114710807800293,
77,-2.2114317417144775,
78,-2.211392641067505,
79,-2.211353302001953,
80,-2.2113139629364014,
81,-2.2112746238708496,
82,-2.211235284805298,
83,-2.211195945739746,
84,-2.2111566066741943,
85,-2.2111172676086426,
86,-2.21107816696167,
87,-2.211038827896118,
88,-2.2109994888305664,
89,-2.2109601497650146,
90,-2.210920810699463,
91,-2.210881471633911,
92,-2.2108421325683594,
93,-2.2108027935028076,
94,-2.210763692855835,
95,-2.210724353790283,
96,-2.2106850147247314,
97,-2.2106456756591797,
98,-2.210606336593628,
99,-2.210566997528076,
100,-2.2105276584625244,
101,-2.2104883193969727,
102,-2.21044921875,
103,-2.2104098796844482,
104,-2.2103705406188965,
105,-2.2103312015533447,
106,-2.210291862487793,
107,-2.210252523422241,
108,-2.2102131843566895,
109,-2.210174083709717,
110,-2.210134744644165,
111,-2.2100954055786133,
112,-2.2100560665130615,
113,-2.2100167274475098,
114,-2.209977388381958,
115,-2.2099380493164062,
116,-2.2098987102508545,
117,-2.209859609603882,
118,-2.20982027053833,
119,-2.2097809314727783,
120,-2.2097415924072266,
121,-2.209702253341675,
122,-2.209662914276123,
123,-2.2096235752105713,
124,-2.2095842361450195,
125,-2.209545135498047,
126,-2.209505796432495,
127,-2.2094664573669434,
128,-2.2094271183013916,
129,-2.20938777923584,
130,-2.209348440170288,
131,-2.2093091011047363,
132,-2.2092697620391846,
133,-2.209230661392212,
134,-2.20919132232666,
135,-2.2091519832611084,
136,-2.2091126441955566,
137,-2.209073305130005,
138,-2.209033966064453,
139,-2.2089946269989014,
140,-2.2089552879333496,
141,-2.208916187286377,
142,-2.208876848220825,
143,-2.2088375091552734,
144,-2.2087981700897217,
145,-2.20875883102417,
146,-2.208719491958618,
147,-2.2086801528930664,
148,-2.2086408138275146,
149,-2.208601713180542,
150,-2.2085623741149902,
151,-2.2085230350494385,
152,-2.2084836959838867,
153,-2.208444356918335,
154,-2.208405017852783,
155,-2.2083656787872314,
156,-2.2083263397216797,
157,-2.208287239074707,
158,-2.2082479000091553,
159,-2.2082085609436035,
160,-2.2081692218780518,
161,-2.2081298828125,
162,-2.2080905437469482,
163,-2.2080512046813965,
164,-2.2080118656158447,
165,-2.207972764968872,
166,-2.2079334259033203,
167,-2.2078940868377686,
168,-2.207854747772217,
169,-2.207815408706665,
170,-2.2077760696411133,
171,-2.2077367305755615,
172,-2.2076973915100098,
173,-2.207658290863037,
174,-2.2076189517974854,
175,-2.2075796127319336,
176,-2.207540273666382,
177,-2.20750093460083,
178,-2.2074615955352783,
179,-2.2074222564697266,
180,-2.207382917404175,
181,-2.207343816757202,
182,-2.2073044776916504,
183,-2.2072651386260986,
184,-2.207225799560547,
185,-2.207186460494995,
186,-2.2071471214294434,
187,-2.2071077823638916,
188,-2.20706844329834,
189,-2.207029342651367,
190,-2.2069900035858154,
191,-2.2069506645202637,
192,-2.206911325454712,
193,-2.20687198638916,
194,-2.2068326473236084,
195,-2.2067933082580566,
196,-2.206754207611084,
197,-2.2067148685455322,
198,-2.2066755294799805,
199,-2.2066361904144287,
200,-2.206596851348877,
201,-2.206557512283325,
202,-2.2065181732177734,
203,-2.2064788341522217,
204,-2.206439733505249,
205,-2.2064003944396973,
206,-2.2063610553741455,
207,-2.2063217163085938,
208,-2.206282377243042,
209,-2.2062430381774902,
210,-2.2062036991119385,
211,-2.2061643600463867,
212,-2.206125259399414,
213,-2.2060859203338623,
214,-2.2060465812683105,
215,-2.206007242202759,
216,-2.205967903137207,
217,-2.2059285640716553,
218,-2.2058892250061035,
219,-2.2058498859405518,
220,-2.205810785293579,
221,-2.2057714462280273,
222,-2.2057321071624756,
223,-2.205692768096924,
224,-2.205653429031372,
225,-2.2056140899658203,
226,-2.2055747509002686,
227,-2.205535411834717,
228,-2.205496311187744,
229,-2.2054569721221924,
230,-2.2054176330566406,
231,-2.205378293991089,
232,-2.205338954925537,
233,-2.2052996158599854,
234,-2.2052602767944336,
235,-2.205220937728882,
236,-2.205181837081909,
237,-2.2051424980163574,
238,-2.2051031589508057,
239,-2.205063819885254,
240,-2.205024480819702,
241,-2.2049851417541504,
242,-2.2049458026885986,
243,-2.204906463623047,
244,-2.204867362976074,
245,-2.2048280239105225,
246,-2.2047886848449707,
247,-2.204749345779419,
248,-2.204710006713867,
249,-2.2046706676483154,
250,-2.2046313285827637,
251,-2.204591989517212,
252,-2.2045528888702393,
253,-2.2045135498046875,
254,-2.2044742107391357,
255,-2.204434871673584,
256,-2.2043955326080322,
257,-2.2043561935424805,
258,-2.2043168544769287,
259,-2.204277515411377,
260,-2.2042384147644043,
261,-2.2041990756988525,
262,-2.204159736633301,
263,-2.204120397567749,
264,-2.2040810585021973,
265,-2.2040417194366455,
266,-2.2040023803710938,
267,-2.203963041305542,
268,-2.2039239406585693,
269,-2.2038846015930176,
270,-2.203845262527466,
271,-2.203805923461914,
272,-2.2037665843963623,
273,-2.2037272453308105,
274,-2.203687906265259,
275,-2.203648567199707,
276,-2.2036094665527344,
277,-2.2035701274871826,
278,-2.203530788421631,
279,-2.203491449356079,
280,-2.2034521102905273,
281,-2.2034127712249756,
282,-2.203373432159424,
283,-2.203334093093872,
284,-2.2032949924468994,
285,-2.2032556533813477,
286,-2.203216314315796,
287,-2.203176975250244,
288,-2.2031376361846924,
289,-2.2030982971191406,
290,-2.203058958053589,
291,-2.203019857406616,
292,-2.2029805183410645,
293,-2.2029411792755127,
294,-2.202901840209961,
295,-2.202862501144409,
296,-2.2028231620788574,
297,-2.2027838230133057,
298,-2.202744483947754,
299,-2.2027053833007812,
300,-2.2026660442352295,
301,-2.2026267051696777,
302,-2.202587366104126,
303,-2.202548027038574,
304,-2.2025086879730225,
305,-2.2024693489074707,
306,-2.202430009841919,
307,-2.2023909091949463,
308,-2.2023515701293945,
309,-2.2023122310638428,
310,-2.202272891998291,
311,-2.2022335529327393,
312,-2.2021942138671875,
313,-2.2021548748016357,
314,-2.202115535736084,
315,-2.2020764350891113,
316,-2.2020370960235596,
317,-2.201997756958008,
318,-2.201958417892456,
319,-2.2019190788269043,
320,-2.2018797397613525,
321,-2.201840400695801,
322,-2.201801061630249,
323,-2.2017619609832764,
324,-2.2017226219177246,
325,-2.201683282852173,
326,-2.201643943786621,
327,-2.2016046047210693,
328,-2.2015652656555176,
329,-2.201525926589966,
330,-2.201486587524414,
331,-2.2014474868774414,
332,-2.2014081478118896,
333,-2.201368808746338,
334,-2.201329469680786,
335,-2.2012901306152344,
336,-2.2012507915496826,
337,-2.201211452484131,
338,-2.201172113418579,
339,-2.2011330127716064,
340,-2.2010936737060547,
341,-2.201054334640503,
342,-2.201014995574951,
343,-2.2009756565093994,
344,-2.2009363174438477,
345,-2.200896978378296,
346,-2.200857639312744,
347,-2.2008185386657715,
348,-2.2007791996002197,
349,-2.200739860534668,
350,-2.200700521469116,
351,-2.2006611824035645,
352,-2.2006218433380127,
353,-2.200582504272461,
354,-2.200543165206909,
355,-2.2005040645599365,
356,-2.2004647254943848,
357,-2.200425386428833,
358,-2.2003860473632812,
359,-2.2003467082977295,
360,-2.2003073692321777,
361,-2.200268030166626,
362,-2.200228691101074,
363,-2.2001895904541016,
364,-2.20015025138855,
365,-2.200110912322998,
366,-2.2000715732574463,
367,-2.2000322341918945,
368,-2.1999928951263428,
369,-2.199953556060791,
370,-2.1999142169952393,
371,-2.1998751163482666,
372,-2.199835777282715,
373,-2.199796438217163,
374,-2.1997570991516113,
375,-2.1997177600860596,
376,-2.199678421020508,
377,-2.199639081954956,
378,-2.1995999813079834,
379,-2.1995606422424316,
380,-2.19952130317688,
381,-2.199481964111328,
382,-2.1994426250457764,
383,-2.1994032859802246,
384,-2.199363946914673,
385,-2.199324607849121,
386,-2.1992855072021484,
387,-2.1992461681365967,
388,-2.199206829071045,
389,-2.199167490005493,
390,-2.1991281509399414,
391,-2.1990888118743896,
392,-2.199049472808838,
393,-2.199010133743286,
394,-2.1989710330963135,
395,-2.1989316940307617,
396,-2.19889235496521,
397,-2.198853015899658,
398,-2.1988136768341064,
399,-2.1987743377685547,
400,-2.198734998703003,
401,-2.198695659637451,
402,-2.1986565589904785,
403,-2.1986172199249268,
404,-2.198577880859375,
405,-2.1985385417938232,
406,-2.1984992027282715,
407,-2.1984598636627197,
408,-2.198420524597168,
409,-2.198381185531616,
410,-2.1983420848846436,
411,-2.198302745819092,
412,-2.19826340675354,
413,-2.1982240676879883,
414,-2.1981847286224365,
415,-2.1981453895568848,
416,-2.198106050491333,
417,-2.1980667114257812,
418,-2.1980276107788086,
419,-2.197988271713257,
420,-2.197948932647705,
421,-2.1979095935821533,
422,-2.1978702545166016,
423,-2.19783091545105,
424,-2.197791576385498,
425,-2.1977522373199463,
426,-2.1977131366729736,
427,-2.197673797607422,
428,-2.19763445854187,
429,-2.1975951194763184,
430,-2.1975557804107666,
431,-2.197516441345215,
432,-2.197477102279663,
433,-2.1974377632141113,
434,-2.1973986625671387,
